lat,lon
41.8931,12.4828
45.4669,9.19
40.8333,14.25
45.0667,7.7
38.1157,13.3613
44.4072,8.934
44.4939,11.3428
43.7714,11.2542
41.1253,16.8667
37.5027,15.0873
45.4397,12.3319
45.4386,10.9928
38.1936,15.5542
45.4064,11.8778
45.6503,13.7703
40.4181,17.2408
45.5389,10.2203
44.8015,10.328
43.8808,11.0966
44.6458,10.9257
38.1144,15.65
44.7,10.6333
43.1121,12.3888
44.4178,12.1994
43.55,10.3167
39.2167,9.1167
41.4584,15.5519
44.0594,12.5683
40.6806,14.7597
44.8353,11.6199
41.4676,12.9037
40.9319,14.1956
45.5836,9.2736
37.0692,15.2875
45.695,9.67
42.4643,14.2142
46.0667,11.1167
44.2225,12.0408
40.7267,8.5592
45.55,11.55
42.5667,12.65
46.5,11.35
45.45,8.6167
45.05,9.7
43.6167,13.5167
41.2317,16.3083
46.0667,13.2333
43.4631,11.8781
44.1333,12.2333
40.352,18.1691
43.9102,12.9133
41.3167,16.2833
44.9133,8.62
44.108,9.8289
43.9333,10.9167
43.7167,10.4
38.91,16.5875
45.4906,12.2381
43.85,10.5167
40.6383,17.9458
40.7853,14.3953
45.6722,12.2422
45.612,8.8518
45.8103,9.0861
37.7981,12.4342
42.7722,11.1089
45.5333,9.2333
40.8231,14.1222
45.8167,8.8333
41.7667,12.2333
40.9,14.3
44.9,8.2069
45.55,9.2167
41.0667,14.3333
37.0667,14.25
36.925,14.7306
45.1853,9.155
45.1333,10.0333
44.7833,10.885
39.2291,9.2649
40.8167,16.55
44.3531,11.7147
42.354,13.392
44.0333,10.1333
38.0175,12.515
42.4186,12.1042
39.3,16.25
40.6333,15.8
40.7,14.4833
40.9167,14.3167
36.95,14.5333
39.0833,17.1167
41.6693,12.5021
45.3167,8.8667
44.0833,10.1
37.4915,14.0624
43.8672,10.2506
41.1256,14.7811
43.8435,13.0198
44.308,8.481
40.6667,16.6
40.9167,9.5
45.5781,8.9183
40.95,14.3667
40.9,14.1833
41.2,16.6
37.3111,13.5765
44.2856,11.8833
41.2667,15.9
45,7.6833
42.9561,12.7033
41.6333,15.9167
41.9667,12.8
44.3833,7.55
41.2667,16.4167
41.2409,16.5021
41.1083,16.6917
38.0833,13.5
40.8197,14.3411
36.8672,14.7614
43.8175,7.775
42.6589,13.7039
42.5119,14.1373
40.9153,14.7897
43.3183,11.3314
45.6649,8.7914
41.6667,12.7833
40.7008,14.7056
41.6951,15.3793
40.973,14.2065
40.8068,14.3526
41.4472,12.6283
37.6125,15.1656
42.1,11.8
37.6517,12.5875
45.0809,11.794
45.9626,12.6563
40.6167,14.9833
45.5333,9.0333
42.3511,14.1674
40.7536,14.5253
43.7544,11.1894
37.5183,15.0069
41.4667,12.6667
41.6167,12.55
45.0833,7.5833
45.2189,12.2785
45.1564,10.7911
41.561,14.6684
40.9167,14.35
43.8333,11.2
40.95,17.3
40.7,17.3333
42.8547,13.5753
45.0725,7.5272
43.7167,10.95
41.15,16.4
45.85,9.4
37.5667,14.9
45,7.65
45.5286,9.2783
42.4044,12.8567
42.9438,13.8833
45.1333,7.7667
45.5667,9.1667
43.8256,11.1333
41.2833,13.25
45.3167,8.4167
43.8756,10.5736
41.6333,13.35
40.75,14.6333
45.6167,9.25
37.9667,12.9667
45.3167,9.5
43.68,10.5003
45.65,9.2
40.8333,14.3333
43.7131,13.2183
41.7667,12.6667
45.5664,8.0533
40.56,8.315
40.8206,16.4233
45.7686,11.7367
45.3833,9.15
40.7569,14.4444
43.3068,13.7286
43.8865,8.0297
42.031,13.4264
45.6167,9.2167
45.6298,12.5641
43.3003,13.4533
41.9544,12.0742
38.15,15.2167
41.7333,12.6667
42.05,12.6167
44.5517,10.7856
37.5092,13.0889
46.6689,11.1639
39.6,16.5167
43.5228,13.2439
40.6169,15.0564
45.7333,9.1333
45.8833,11.0342
40.9167,14.4
41.0333,14.3
41.35,13.4167
40.8333,17.3667
43.4574,12.2403
45.6255,9.037
44.9925,9.0092
45.7111,11.3556
38.0817,13.2889
41.0333,14.3833
38.1333,13.1833
41.8,12.6
45.6272,9.1472
45.4375,12.1329
41.0833,16.7833
45.4,9.2833
37.2333,14.5167
41.2564,13.6069
42,12.1
42.7333,12.7333
40.9167,14.2333
40.95,14.3
45.0689,7.5786
43.1604,13.7181
37.1083,13.9469
41.6,12.8333
45.0131,7.8228
45.5,9.3333
39.5667,16.6333
40.3201,9.3281
41.4917,13.8333
45.55,9.1167
44.4833,11.2833
40.5314,17.5858
44.8833,7.3333
37.2303,15.2194
39.3333,16.1833
37.36,13.8511
46.1408,12.2156
37.6625,14.8356
44.7333,11.2833
45.49,9.2953
45.5972,9.13
45.8872,12.2969
43.4861,13.4821
44,12.65
42.2312,14.3905
40.9094,14.2098
40.8725,14.4369
45.5508,9.3011
45.4333,9.1167
45.9352,13.6193
44.5739,10.8478
45.5167,9.3333
45.3667,9.6833
40.9153,14.2681
40.7431,14.5694
45.7372,7.3206
45.1342,8.4583
40.9422,14.2348
42.9348,10.5221
38.6753,16.0959
42.0028,14.9947
45.1167,7.6333
45.6667,11.9333
45.35,10.85
41.5,15.3333
44.5967,11.0528
41.0833,14.25
40.5833,17.1167
45.4009,8.9185
45.4167,9.2667
44.4716,11.4049
43.9333,10.3
37.3186,13.6631
37.5667,15.05
40.5333,17.4333
40.9417,14.2722
38.05,13.1167
43.3518,12.5773
39.9058,8.5916
40.8167,14.6167
40.8333,14.5
37.6786,12.7917
44.6915,8.0256
43.7625,10.4414
40.1797,18.0333
36.9167,15.1333
45.7753,12.0389
38.217,15.237
40.9167,14.2
40.7322,17.5778
40.4028,17.6342
43.4,10.4667
43.3386,12.9085
45.9228,8.5519
40.9333,14.45
41.2167,16.0667
36.95,14.6
45.5214,9.5928
44.35,9.2333
